unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
6453414,39657,【路客】限时长租丨古朗·广场｜春熙路,104.06479540622753,30.654363285009012,国嘉华庭,近锦江宾馆地铁站,525,499,成都,青羊区,整套,3居3床6人,4.9,37
4665607,39657,【已消毒可做饭】春熙/地铁口豪华观景套一,104.106831,30.695964,永立龙寓,近李家沱地铁站,209,184,成都,成华区,整套,1居1床2人,5.0,310
9669395,39657,【长租特惠】近地铁/机场/锦里暖心一居,104.0196368,30.6524673451713,鹭岛路36号5栋1单元5层,近龙爪堰地铁站,228,224,成都,武侯区,整套,1居1床2人,4.9,58
10175117,39657,【限时特价】春熙路网红空中公寓：熊猫基地,104.10711680384208,30.696139955371635,永立星城都(二环路北四段3号永立龙寓),近李家沱地铁站,151,137,成都,成华区,整套,1居1床2人,4.9,342
17311925,39657,已消毒放心住/春熙路阑珊观景大床房,104.10167568559412,30.656633610226606,未来中心B塔,近玉双路地铁站,448,350,成都,成华区,整套,1居1床2人,5.0,105
27057626,39657,大源站地铁新会展世豪广场伊藤北欧阳台一居,104.05142899999994,30.560837901033608,都城乐颂居(公寓1栋一单元),近世纪城地铁站,180,145,合肥,武侯区,整套,1居1床2人,5.0,1
19897508,39657,近春熙路太古里宽窄巷子高空观景公寓,104.107387,30.696287,府青路街道 高车三路,近李家沱地铁站,168,143,成都,成华区,整套,1居1床2人,5.0,120
9668198,39657,【太古里】春熙路情调奢华智能loft一居,104.102088,30.65645562472686,东风路26号未来中心A座15楼,近玉双路地铁站,558,547,成都,成华区,整套,1居1床2人,4.9,44
6685982,39657,恩善LoftA 轻奢套房,104.10208799999984,30.65645562472686,未来中心,近玉双路地铁站,650,598,成都,成华区,整套,1居1床2人,4.9,12
15652428,39657,旮旯小屋优享特惠房04,103.922897,30.613647,贵通御苑·双楠城(文楠路122号),近龙桥路地铁站,81,80,成都,双流区,,4居1床2人,5.0,4
15108374,39657,歌今·桑茶 复工放心•春熙路Loft公寓,104.098368,30.647581,茂业豪园,近牛王庙地铁站,368,332,成都,锦江区,整套,1居1床2人,5.0,30
12276573,39657,《高空景观露台》春熙路/熊猫基地 大床房,104.106936,30.696101,永立龙寓,近李家沱地铁站,162,146,成都,成华区,整套,1居1床2人,5.0,595
11971821,39657,春熙路/太古里/现代奢华一居,104.080776,30.667412,恒大广场(大墙东街，三桂前街交汇处),近太升南路地铁站,598,562,成都,青羊区,整套,1居1床2人,5.0,427
15408296,39657,【蓝莓】精装简约风市中心地铁口一居公寓,104.076363,30.687646,万担仓路1号院(万担仓路3号门),近人民北路地铁站,131,119,成都,金牛区,整套,1居1床2人,4.8,64
13899292,39657,春熙路/熊猫基地/火车北站豪华大床房,104.106936,30.696101,永立龙寓,近李家沱地铁站,161,144,成都,成华区,整套,1居1床2人,5.0,342
4670941,39657,【已消毒可做饭】春熙路/近地铁高端单卧,104.106831,30.695964,永立龙寓,近李家沱地铁站,191,168,成都,成华区,整套,1居1床2人,4.9,505
10940952,39657,春熙路盐市口红星路新南门简约居家房,104.078404,30.656772,阳光365,近锦江宾馆地铁站,128,116,成都,锦江区,整套,1居1床2人,5.0,10
16989407,39657,20↑北欧单卧/步行可至春熙太古,104.081074,30.668651,大墙东街-公交车站(住宅楼入口位于城门楼火锅对面),近太升南路地铁站,478,374,成都,青羊区,整套,1居1床2人,5.0,205
14717032,39657,消毒安心订九眼桥太古里/豪华观景LOFT,104.098368,30.647581,茂业豪园(阳光新业正对面),近牛王庙地铁站,288,260,成都,锦江区,整套,1居1床2人,5.0,82
18706990,39657,高空观景露台～春熙路～轻奢大床房,104.10687129530017,30.696146057763205,瑞丰巷(二环路北四段三号永立星城都),近李家沱地铁站,162,146,成都,成华区,整套,1居1床2人,5.0,192
12092690,39657,春熙路宽窄巷子 套一 地铁口,104.07352619476978,30.676665875239888,证大·正府,近文殊院地铁站,170,153,成都,青羊区,整套,1居1床2人,5.0,105
19896934,39657,春熙路太古里宽窄巷子高空观景家庭双卧套房,104.107288,30.696316,府青路街道 高车三路,近李家沱地铁站,238,203,成都,成华区,整套,2居2床2人,5.0,120
14186635,39657,【限时特价】春熙路/网红空中花园轻奢公寓,104.105721,30.695222,永立星城都(二环路北四段3号永立龙寓),近李家沱地铁站,151,137,成都,成华区,整套,1居1床2人,5.0,269
8484512,39657,近春熙路·度假水晶大床房·网红观景露台,104.107068,30.696168,永立龙寓(成华区红黄蓝亲子园隔壁：永立龙寓),近李家沱地铁站,178,143,成都,成华区,整套,1居1床2人,5.0,146
16188383,39657,春熙路/熊猫基地/宽窄巷子/时尚大床房,104.107003,30.696217,永立龙寓(红黄蓝亲子园旁),近李家沱地铁站,155,140,成都,成华区,整套,1居1床2人,5.0,119
6681558,39657,恩善loftA 太古里 IFS 轻奢套房,104.10154081195802,30.656723452008237,A TOWER,近玉双路地铁站,657,592,成都,成华区,整套,1居1床2人,5.0,17
14731620,39657,消毒安心订/九眼桥太古里豪华LOFT套房,104.098363,30.647647,茂业豪园(阳光新业正对面),近牛王庙地铁站,388,350,成都,锦江区,整套,1居1床2人,4.9,65
1170373,39657,已消毒*放心住*近熊猫基地网红高空城景房,104.107038,30.695985,永立龙寓(永立星城都),近李家沱地铁站,199,150,成都,成华区,整套,1居1床2人,5.0,1282
8099526,39657,已消毒可做饭【幸会】春熙投影机麻四卧套房,104.07574500937945,30.669793680131193,富力中心-B座(富力中心B座六单元),近骡马市地铁站,720,648,成都,青羊区,整套,4居4床8人,4.9,627
16997800,39657,【醉成都】简约一居/宽窄巷子春熙路,104.073101,30.67735,东渡国际时代凯悦,近文殊院地铁站,190,181,成都,青羊区,整套,1居1床2人,4.9,32
261732,39657,「格调」春熙路文殊院地铁口/月租长租,104.075351,30.678562,壹号公馆(人民中路三段一号壹号公馆（文殊院地铁H口出口即到）),近文殊院地铁站,139,126,成都,青羊区,整套,1居1床2人,5.0,1626
9833671,39657,已消毒*简约大床房/建设巷网红街,104.122908,30.684916,成功悦都(请地图搜索“埃德蒙顿服务公寓”),近八里庄地铁站,234,176,成都,成华区,整套,1居1床2人,5.0,814
14731956,39657,消毒安心订/九眼桥春熙路双床Loft套房,104.098363,30.647647,茂业豪园(阳光新业正对面),近牛王庙地铁站,808,728,成都,锦江区,整套,1居2床2人,5.0,76
