unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
11238620,26548,火车站/栈桥/天主教堂/复式简约大床房,120.308518,36.070912,金茂湾C3公寓楼(金茂湾购物中心正对面),近青岛站地铁站,88,80,青岛,市南区,整套,1居1床2人,5.0,220
7830908,26548,海俪舍豪华海景大床房 近栈桥火车站中山路,120.326896,36.089047,新疆路-道路(自由港湾),近青岛站地铁站,89,86,青岛,市北区,整套,1居1床2人,4.9,277
303410,26548,柒禧精品大床房（近栈桥火车站）,120.327467,36.088191,新疆路8号中联自由港湾,近青岛站地铁站,69,61,青岛,市北区,整套,1居1床2人,4.9,187
12710342,26548,【婚礼季】婚纱~网红吊床~浴缸~百寸投影,120.38648476431642,36.09434800181541,万达广场商务楼A,近敦化路地铁站,270,244,青岛,市北区,整套,1居1床2人,4.8,50
17933679,26548,乐乎奥帆中心五四260度海景智能北欧②⑤,120.404774,36.066092,兴源大厦(海信广场加油站旁),近燕儿岛路地铁站,315,310,青岛,市南区,整套,2居3床4人,5.0,3
27488161,26548,星漫特惠房（中联自由港湾火车站店）,120.32092799999992,36.083023891654136,自由港·湾,近青岛站地铁站,88,71,青岛,市北区,整套,1居1床2人,0.0,0
13977258,26548,【凡心】CBD法式秋千与复古街机loft,120.38329599999976,36.097813675353834,中锦大厦,近敦化路地铁站,158,135,青岛,市北区,整套,1居2床2人,5.0,12
3554147,26548,爱家温馨大床房,120.38334657669336,36.09873843304281,青岛爱家公寓(中央商务区店)(青岛市市北区徐州北路180号爱家公寓),近敦化路地铁站,96,87,青岛,市北区,整套,1居1床2人,4.9,571
446702,26548,怡澜尚美特惠大床房,120.326919,36.088934,新疆路8号中联自由港湾,近青岛站地铁站,81,77,青岛,市北区,整套,1居1床2人,4.9,331
13880973,26548,万达复式公寓【靓颜-冬】浴缸近地铁已消毒,120.38293599999992,36.09781889178466,CBD首府,近敦化路地铁站,252,228,青岛,市北区,整套,1居2床2人,5.0,6
14598011,26548,【轻奢+高层海景】火车站栈桥/劈柴院两居,120.32364,36.080263,小港一路6号茗城荟,近青岛站地铁站,558,503,青岛,市北区,整套,2居2床4人,5.0,40
15454489,26548,【沐阳】轻奢LOFT/双地铁CBD/轰趴,120.39424612392264,36.09812466824759,海信绍兴路66号民宿公寓,近敦化路地铁站,177,160,青岛,市北区,整套,1居2床2人,5.0,13
13207874,26548,电影语音智能五星级大床房小爱同学富力机场,120.40247460239402,36.27450477069327,富力·总部基地(流亭机场),近机场,291,234,青岛,城阳区,整套,1居1床2人,4.7,41
15796096,26548,悦澜庭舍李村商圈银座华府豪华套房北欧,120.43117406221637,36.16860094784371,银座华府-5号楼(二单元),近李村地铁站,249,199,青岛,李沧区,整套,1居1床2人,5.0,19
16822380,26548,【日暖】CBD万达/近五四广场/近地铁口,120.3864158408066,36.09500975468018, 连云港路33,近敦化路地铁站,133,120,青岛,市北区,整套,1居2床2人,5.0,5
11587738,26548,B-V』观海复式两居&影院麻将|五四广场,120.40781341501008,36.072668148178536,鹏程花园C座,近燕儿岛路地铁站,294,251,青岛,市南区,整套,2居2床4人,5.0,18
14525484,26548,海景冬天有暖气欣赏海上日落 120寸投影,120.323646,36.080294,名城荟(晓港名城七期),近青岛站地铁站,172,172,青岛,市北区,整套,1居1床2人,4.8,13
18198097,26548,【关于你】近万达茂星光岛金沙滩•山水相逢,120.112622,35.914289,万达公馆A1-东北门,近朝阳山地铁站,138,118,青岛,黄岛区,整套,1居1床2人,5.0,3
22702933,26548,【路客】限时长租丨『黄铜时代』五四广场,120.39462752743843,36.07001389303993,东海路18号金都花园,近浮山所地铁站,341,341,青岛,市南区,整套,2居2床4人,5.0,8
15725235,26548,【蓝鲸House】—绿茵山景LOFT大床,120.420327,36.181924,保利中央公园-北区(北区5号公寓楼),近振华路地铁站,192,150,青岛,李沧区,整套,1居1床2人,5.0,137
11645313,26548,町说•珍妮 每天消毒/景区人少/交通便利,120.167477,35.939176,风和日丽,近积米崖地铁站,307,261,青岛,黄岛区,整套,2居3床6人,5.0,68
15456596,26548,【瑾拾·海边堂】石老人海水浴场山景大床房,120.475718,36.105785,青岛斯维登精品公寓(秦岭路19号协信中心3号楼),近苗岭路地铁站,139,139,青岛,崂山区,整套,1居1床2人,5.0,13
9930082,26548,栈桥火车站天主教堂海景Loft大床房,120.308503,36.070876,青岛市金茂湾C3公寓,近青岛站地铁站,118,107,青岛,市南区,整套,1居1床2人,4.9,671
11766245,26548,金沙滩城市传媒广场精装复式公寓,120.21074925739944,35.958485229975906,城市传媒广场(高德导航桔子酒店金沙滩店),近井冈山路地铁站,160,120,青岛,黄岛区,整套,1居2床2人,5.0,13
11199630,26548,五四广场188平三室三卫豪宅/可按月出租,120.40844763066788,36.06822847328127,鲁商·首府,近燕儿岛路地铁站,1188,1188,青岛,市南区,整套,3居4床8人,5.0,26
305126,26548,钢琴音乐、智能影院、图书之家,120.3898839999999,36.0977088917836,敦化路172号华仁·欧典商苑,近敦化路地铁站,258,246,青岛,市北区,整套,2居2床4人,5.0,57
466192,26548,近火车站栈桥轻奢度假双卧套房，地暖,120.32708499999993,36.08897389170375,自由港湾(新疆路8号中联自由港·湾),近青岛站地铁站,143,130,青岛,市北区,整套,2居2床4人,5.0,500
