unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
30443,16988,周庄古镇景区内雕花大床房，静闲雅居画堂春,120.8580939999997,31.118926746444597,南湖街(陈家弄21号(枫丹检票口内）),近周庄古镇内,170,162,苏州,昆山市,整套,1居1床2人,5.0,91
5054506,16988,【慕弗】Lakeview 阳澄湖湖景独栋,120.846535,31.399188, 克拉水城-53栋,,2764,2626,苏州,昆山市,整套,7居10床14人,5.0,43
2021460,16988,听說.光明路复式情侣房,121.12399358800832,31.302112759424453,光明路-公交车站(光明路地铁站-2口，伟鹏商务大厦),近花桥工业区,242,231,苏州,昆山市,整套,1居1床2人,4.8,8
8298893,16988,(鸿业房产)11号线旁精品情侣房,121.15378913837549,31.29344745334688,曹新路(晨风路158号糖果公元 ),,192,183,苏州,昆山市,整套,1居2床3人,5.0,11
30431,16988,周庄古镇景区内双床房家庭亲子房。静闲雅居,120.8580799999999,31.11893447521557,枫丹检票口(陈家弄21号(枫丹检票口内)),近周庄古镇内,228,217,苏州,昆山市,整套,1居2床4人,5.0,80
1171895,16988,周庄/临湖观景/休闲坐榻/雕花大床房,120.86045770054608,31.11791427195013,周庄古镇景区-长桥检票口出入口,近周庄古镇内,470,424,苏州,昆山市,整套,1居1床2人,4.9,44
4045351,16988,听說.游站复式小洋楼,121.1331742703203,31.293434481363008,游站·未来城-1号楼(游站·未来城),近花桥工业区,242,231,苏州,昆山市,整套,1居1床2人,5.0,8
5804997,16988,【灰度店】阳澄湖大闸蟹 湖景独栋,120.855606,31.444039,昆山国际上湖宝曼酒店(国际上湖12#别墅),近阳澄湖度假区,2380,2261,苏州,昆山市,整套,7居11床14人,4.9,34
1162668,16988,【优质房源】-周庄景区内-两室6人间,120.85391699999984,31.11857122229223,周庄闲居客栈,近周庄古镇内,580,522,苏州,昆山市,整套,2居3床6人,4.8,20
7671129,16988,周庄茉舍带浪漫小院儿院景房·清风居,120.85822990288136,31.12082027633635,周庄古镇景区-银子浜出入口(原周庄俞家弄客栈),近周庄古镇内,307,307,苏州,昆山市,整套,1居1床2人,5.0,6
6701249,16988,周庄湖景花园民宿 锦荷·安澜,120.85950335118497,31.11825913636693,富贵园路(周庄),近周庄古镇内,238,234,苏州,昆山市,整套,1居2床2人,5.0,15
1032185,16988,嘉宝梦之城 摩登大2室 看须知再定,121.0677709999999,31.30099987646915,花桥镇嘉宝梦之城,近花桥工业区,626,626,上海,昆山市,整套,2居2床4人,4.8,28
6175038,16988,周庄古镇温馨家庭大床家庭房,120.86036550523046,31.12022384168777,富贵路99,近周庄古镇内,170,162,苏州,昆山市,整套,1居2床4人,5.0,26
1162671,16988,【优质房源】-周庄景区内-独栋双层三居室,120.85391699999984,31.11857122229223,周庄闲居客栈,近周庄古镇内,760,684,苏州,昆山市,整套,3居3床6人,4.4,12
393839,16988,周庄古镇临河大床,120.8601617404038,31.120048930533912,富贵园路-道路,近周庄古镇内,168,160,苏州,昆山市,整套,1居1床2人,4.9,40
27365,16988,周庄听雨轩一楼大床房,120.857706,31.117452,南市街9号（近周庄沈厅）,近周庄古镇内,168,160,苏州,昆山市,整套,1居11床2人,5.0,57
6173820,16988,周庄古镇水乡家庭大床房,120.86036550523046,31.12022384168777,富贵路99,近周庄古镇内,168,160,苏州,昆山市,整套,1居2床3人,5.0,20
32499,16988,周庄古镇内一楼榻榻米标准间·南湖胜境旁,120.85739,31.117518,南湖街,近周庄古镇内,238,227,苏州,昆山市,整套,1居2床2人,5.0,109
1986446,16988,周庄轮埠驿站,120.85460399999992,31.116943853759057,朱家竹行旧址(周庄轮埠驿站),近周庄古镇内,595,566,苏州,昆山市,整套,3居5床7人,4.9,7
1171903,16988,周庄景区双检票口/露天阳台/琉璃大床房,120.86045770054608,31.11779061019568,周庄古镇景区-长桥检票口出入口,近周庄古镇内,594,536,苏州,昆山市,整套,1居1床2人,4.5,4
1713026,16988,兰亭别墅轰趴 阳澄湖克拉水城店,120.845713,31.399987,巴城镇民权路18号,,3380,3211,苏州,昆山市,整套,8居12床17人,4.8,15
11986,16988,丽江南--月照庭二楼临河观景中房,120.857532,31.119163,沈厅-后门出入口(沈厅后门丽江南里兵),近周庄古镇内,268,255,苏州,昆山市,整套,1居1床2人,4.9,115
