unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
15430871,23340,【汉口站】CBD/园博园/设计师复古两居,114.251269,30.620274,常超街现代花园对面远洋心汉口御峰4栋2单元,近汉口火车站地铁站,363,363,武汉,江汉区,整套,2居3床5人,5.0,30
344129,23340,【筑•从前慢】老洋房/黎黄陂路/空中花园,114.3051336642408,30.59524055442865,黄兴路-道路,近大智路地铁站,345,345,武汉,江岸区,整套,1居1床2人,4.9,162
343154,23340,【筑•一】百年洋房/黎黄陂路/空中花园,114.3051094273995,30.59529464274234,黄兴路-道路,近大智路地铁站,363,363,武汉,江岸区,整套,1居1床2人,5.0,129
13697664,23340,标题 《Alon's house A》,114.35680281757074,30.58074350341624,金沙泊岸南门广场(金沙泊岸小区1栋),近东亭地铁站,419,419,武汉,武昌区,整套,1居1床2人,5.0,10
12438987,23340,国博地铁旁60平爱马仕轻奢落地窗巨幕影院,114.25759759658762,30.519983997167447,恒大御景湾(1号公寓楼40楼),近前进村地铁站,296,296,武汉,汉阳区,整套,1居1床2人,5.0,138
10400335,23340,【汉口站】地铁口/唐家墩/复式一居,114.275965,30.62546,发展大道与唐家墩路交叉口顶琇国际城10栋,近唐家墩地铁站,246,246,武汉,江汉区,整套,1居1床2人,4.9,59
9373428,23340,【伶宿•艾莉丝】万松园汉口站/地铁二号线,114.27080299999992,30.59496489059841,楚天星座-CD座(楚天星座ab座),近青年路地铁站,253,253,武汉,江汉区,整套,1居1床2人,4.9,14
15762685,23340,米克诺斯 圆形浴缸 江汉路步行街 江景房,114.30786727295344,30.59118810809716,时代广场(兰陵路),近大智路地铁站,300,300,武汉,江岸区,整套,1居1床2人,5.0,6
9674484,23340,【香港路】地铁口/儿童医院/民宿风大居室,114.2957398,30.606725049684687,香港路农行综合大楼14楼,近苗栗路地铁站,328,328,武汉,江岸区,整套,2居4床6人,4.9,56
9139502,23340,城堡民宿罗马假日 汉口火车站/菱角湖万达,114.273695,30.615817,菱角湖万达广场-A1公寓楼,近范湖地铁站,220,220,武汉,江汉区,整套,1居1床2人,4.9,34
14098414,23340,【路客】限时长租丨『空谷幽兰』地铁三阳路,114.30801127831265,30.600400644379782,中山大道961号民福金堡,近三阳路地铁站,317,317,武汉,江岸区,整套,2居2床4人,5.0,13
15032039,23340,九亿_盖茨 loft精装汉口站地铁口万达,114.27596499999973,30.62545952933144,顶琇国际城(顶秀头条中心),近唐家墩地铁站,357,357,武汉,江汉区,整套,1居1床2人,5.0,9
3095043,23340,【筑•小巴黎】法式老宅/同兴里/黎黄陂路,114.30691080738389,30.594576086964203,同兴里,近大智路地铁站,333,333,武汉,江岸区,整套,1居1床2人,4.9,83
18811941,23340,暖屋/2号线中山公园地铁口/投影落地窗,114.281309,30.587351,天瑞国际-B座(sogo楼上),近中山公园地铁站,276,276,武汉,江汉区,整套,1居1床2人,0.0,0
12523456,23340,【路客】限时长租丨『空中花园』范湖站丨,114.27338493992615,30.612939346502895,江汉区 常青街新世纪都市花园梅园,近范湖地铁站,497,497,武汉,江汉区,整套,3居3床6人,4.9,14
9983639,23340,城堡民宿白鹭 汉口江滩/黎黄陂路/江汉路,114.30789199999992,30.59138989163189,时代豪苑,近大智路地铁站,300,300,武汉,江岸区,整套,1居1床2人,4.9,8
5563812,23340,菱角湖地铁站万达广场尊品御宅奢华大床房,114.2797589922108,30.610610264245658,长江日报路菱角湖路交汇，菱角湖地铁口，菱角湖万达广场,近菱角湖地铁站,416,416,武汉,江汉区,整套,1居1床2人,4.9,27
9984381,23340,城堡民宿 旧时光江景房 汉口江滩/江汉路,114.307892,30.59139,时代豪苑,近大智路地铁站,300,300,武汉,江岸区,整套,1居1床2人,4.9,16
15736330,23340,isle·Pablo/loft/黎黄陂路,114.304382,30.594615,巷子里面黄陂一里(黎黄陂路武汉市中医院对面),近大智路地铁站,483,483,武汉,江岸区,整套,1居1床2人,5.0,7
10876391,23340,蓝粉星灯亲子民宿 超仙泡泡池秋千小猪佩奇,114.38840904364264,30.5982702788567,欢乐星城-16栋,近园林路地铁站,370,370,武汉,洪山区,整套,2居2床5人,5.0,128
14844432,23340,【PaPa依云町】壹方永旺loft一居,114.294161,30.636262,正义路2号瑞云居北苑1栋,近竹叶山地铁站,267,267,武汉,江岸区,整套,1居1床2人,5.0,32
14272938,23340,《Alon's house B》陌湖 ,114.35667125444505,30.58127238865227,金沙泊岸3栋,近东亭地铁站,406,406,武汉,武昌区,整套,1居1床2人,5.0,7
10701790,23340,【薇图】灰色轨迹/投影/汉口站/地铁口,114.275965,30.62546,顶琇国际城(10栋),近唐家墩地铁站,388,388,武汉,江汉区,整套,1居1床2人,4.9,30
9872339,23340,【筑•闻樱】沙湖边/日式仙居/楚河汉街,114.35758817560512,30.580059775340256,金沙泊岸,近东亭地铁站,363,363,武汉,武昌区,整套,1居1床2人,4.8,40
22589232,23340,宿逅【梦巴黎】江汉路知音号科技馆欧式风,114.302556,30.602172,融科·天城2期,近大智路地铁站,698,698,武汉,江岸区,整套,3居3床6人,0.0,0
1978816,23340,L2摄影家/江汉路香港路/巨投影全景阳台,114.28847599999992,30.611588885971617,中国·中华城-B3栋(中国·中华城),近香港路地铁站,333,333,武汉,江汉区,整套,1居1床2人,4.9,38
1144104,23340,韩式主义·火车站机场园博园天河机场,114.2794236124897,30.611229060373017,沿海菱角湖壹号,近菱角湖地铁站,367,367,武汉,江汉区,整套,1居1床2人,5.0,6
9639169,23340,贰/黎黄陂路/投影/老洋房/法式田园,114.304335089436,30.594621499286824,黎黄陂路56号(进黑色铁门巷子里),近大智路地铁站,326,326,武汉,江岸区,整套,1居2床2人,4.9,24
15264362,23340,【汉堡包】观湖/万松园/复古婚纱/洛丽塔,114.28366739294798,30.59971093594566,观湖铂金公寓(1单元),近取水楼地铁站,424,424,武汉,江岸区,整套,1居1床2人,5.0,22
13583802,23340,怦然心动🔜巨幕投影/万松园/科技馆,114.26873,30.596353,ICC武汉环贸中心(王家墩/青年路地铁口),近王家墩东地铁站,370,370,武汉,江汉区,整套,1居1床2人,5.0,125
2816331,23340,万达中心江湖双景全屋智能【挪威森林影院】,114.318061,30.57191,积玉桥万达,近积玉桥地铁站,339,339,武汉,武昌区,整套,1居1床2人,4.9,52
9819153,23340,【筑•朴生】汪家墩站地铁口/投影/群星城,114.3565889999998,30.589228676789947,福星惠誉国际城-三期,近汪家墩地铁站,363,363,武汉,武昌区,整套,1居1床2人,5.0,37
104663,23340,格调家®180度江景《粉墨江景巨幕影院》,114.312706,30.567849,锦坤公寓楼,近积玉桥地铁站,329,329,武汉,武昌区,整套,1居1床2人,4.7,102
13863466,23340,雁舍·中南特色北欧简约地铁带景观阳台厨房,114.34080321443842,30.53712307893999,中南国际汇(丁字桥路),近宝通寺地铁站,226,226,武汉,武昌区,整套,1居1床2人,5.0,26
15708344,23340,卡萨布兰卡 江景房 江汉路步行街 落地窗,114.30786727295337,30.591187999787827,时代广场(兰陵路),近大智路地铁站,300,300,武汉,江岸区,整套,1居1床2人,5.0,4
13932654,23340,【万达】汉口站/菱角湖/复式投影大床房,114.27736,30.617521,新华下路169号大唐新都B栋,近三眼桥北路地铁站,273,273,武汉,江汉区,整套,1居1床2人,5.0,34
17345378,23340,【有時·蓝风铃】投影浴缸房 近群星城汉街,114.34697261667571,30.597290519453324,徐家棚街街道汉飞·滨江国际,近徐家棚地铁站,372,372,武汉,武昌区,整套,1居1床2人,5.0,7
19766993,23340,限时长租/街道口/武汉大学/投影按摩浴缸,114.36066430586696,30.533840626683727,鹏程国际B座,近街道口地铁站,225,225,武汉,洪山区,整套,1居1床2人,5.0,8
488046,23340,【宿逅】黑白灰菱角湖网红ins风,114.27861814421313,30.61142613930232,沿海菱角湖壹号,近菱角湖地铁站,358,358,武汉,江汉区,整套,1居1床2人,4.9,97
12280108,23340,北海道.粉智能影院大床房,114.26869186832788,30.59634298414515,ICC武汉环贸中心(建设中),近王家墩东地铁站,463,463,武汉,江汉区,整套,1居1床2人,5.0,13
9387757,23340, 古田凯德【那些年】落地窗观景灯火不夜景,114.21825,30.595223,古田四路-地铁站,近古田四路地铁站,328,328,武汉,硚口区,整套,1居1床2人,4.8,8
16067220,23340,飞机城堡亲子民宿 滑滑梯秋千木马童趣玩具,114.39069972269309,30.594633254814205,纯水岸·东湖天屿-一期,近罗家港地铁站,410,410,武汉,洪山区,整套,2居3床5人,5.0,25
7847372,23340,城堡民宿2017 菱角湖万达 汉口火车站,114.27517099999986,30.61635276939877,万达广场(武汉菱角湖店)(菱角湖万达A1公寓楼),近范湖地铁站,220,220,武汉,江汉区,整套,1居1床2人,4.8,31
11308074,23340,格调家®江景浴缸吊床《水云间》巨幕影院房,114.317848,30.571663,积玉桥万达广场-9号楼(积玉桥万达),近积玉桥地铁站,299,299,武汉,武昌区,整套,1居1床2人,5.0,35
20082966,23340,中山公园协和医院武广国际广场江汉路武展,114.28106485478263,30.587560594220594,天瑞国际酒店公寓(协和医院武展店),近中山公园地铁站,224,224,武汉,江汉区,整套,1居1床2人,5.0,1
16977003,23340,【江汉路】近地铁/大智路吉庆街/投影一居,114.303728,30.592521,胜利街合作路46号兰陵大公馆1栋,近大智路地铁站,361,361,武汉,江岸区,整套,1居1床2人,5.0,11
18205608,23340,【KEN肯来】之“清风朗月”,114.357686,30.581461,金沙泊岸,近东亭地铁站,428,428,武汉,洪山区,整套,1居1床2人,5.0,2
14593517,23340,【武广商圈同济医院旁】浪漫主题一居室,114.25297897750927,30.58119246594303,金叶SOLO国际(双厂巷),近硚口路地铁站,165,165,武汉,硚口区,整套,1居1床2人,5.0,4
9342978,23340,【筑•白驹】落地窗湖景/群星城/楚河汉街,114.35358491931323,30.584031018946035,秦园东路(福星惠誉水岸星城A区),近汪家墩地铁站,372,372,武汉,洪山区,整套,1居1床2人,4.9,36
9342978,23340,【筑•白驹】落地窗湖景/群星城/楚河汉街,114.35358491931323,30.584031018946035,秦园东路(福星惠誉水岸星城A区),近汪家墩地铁站,372,372,武汉,洪山区,整套,1居1床2人,4.9,36
13165622,23340,【海洋世界】Ms F的摩卡小镇 ,114.28870979417488,30.657454543262514,越秀星汇君泊3期(塔子湖地铁口C出口50米),近塔子湖地铁站,266,266,武汉,江岸区,整套,1居1床2人,5.0,39
16282239,23340,江边LOFT/一环地铁口/江滩/4折长租,114.31266099999993,30.613845885365937,汉飞青年城,近黄浦路地铁站,303,303,武汉,江岸区,整套,1居1床2人,5.0,4
1192811,23340,丘山LOFT 老洋房 江汉路大投影浴缸,114.3009254423981,30.58497546639335,上海邨,近江汉路地铁站,373,373,武汉,江岸区,整套,1居2床2人,5.0,99
13336044,23340,格调家®全屋智能《筑梦》黄鹤楼+汉街,114.31620399474748,30.569325971629475,武汉积玉桥万达广场2期13号楼,近积玉桥地铁站,299,299,武汉,武昌区,整套,1居1床1人,5.0,4
17278766,23340,【有時·盐白】初雪泡汤浴缸房 群星城汉街,114.3470342104829,30.59751635500616,汉飞·滨江国际,近徐家棚地铁站,402,402,武汉,武昌区,整套,1居1床2人,5.0,6
13273016,23340,正黄埔路地铁口武汉天地/壹方/超大落地窗,114.31245042240226,30.613698951611283,黄浦路地铁站J口(汉飞青年城),近黄浦路地铁站,248,248,武汉,江岸区,整套,1居1床2人,4.6,10
14771478,23340,【舍·日清 】180度江景日式巨幕影院,114.31315459543707,30.568344951936822,锦坤公寓楼,近积玉桥地铁站,316,316,武汉,武昌区,整套,1居1床2人,4.9,30
12623066,23340,武汉大学/华师黄鹤楼/高清投影/零压床垫,114.359625,30.531633,未来城-C座,近街道口地铁站,184,184,武汉,洪山区,整套,1居1床2人,4.8,5
18818507,23340,国博/6号线地铁口/动物园/一居室,114.260283,30.528053,万福国际广场,近前进村地铁站,235,235,武汉,汉阳区,整套,1居1床2人,0.0,0
11268713,23340,「南地之岛5」正地铁站口/壹方/武汉天地,114.31266099999992,30.613845885365937,汉飞青年城,近黄浦路地铁站,240,240,武汉,江岸区,整套,1居1床2人,4.9,29
14640417,23340,国博地铁旁60平高端公寓亏本做人气大空间,114.25759759658762,30.519983997167447,恒大御景湾(1号楼公寓),近前进村地铁站,266,266,武汉,汉阳区,整套,1居1床2人,4.9,125
22011158,23340,2号线/汉口城市广场/温馨房/一居室,114.312987,30.657088,汉口城市广场-SOHO公寓,近后湖大道地铁站,195,195,武汉,江岸区,整套,1居1床2人,0.0,0
14646808,23340,《麦芒》汉口站/万松园/武广/投影房,114.27064,30.595171,楚天星座-AB座,近青年路地铁站,253,253,武汉,江汉区,整套,1居1床1人,4.8,5
12613917,23340,九亿_波西米亚狂想曲 轻奢度假光谷地铁口,114.40834646295384,30.510412541206342,尚都世界城2栋,近珞雄路地铁站,278,278,武汉,洪山区,整套,1居1床2人,4.8,31
9674904,23340,【汉口站】武广/万松园/CBD/豪华两居,114.242375,30.605792887551548,黄海北路2号泛海国际桂海园10栋2单元,近常码头地铁站,411,411,武汉,江汉区,整套,2居2床4人,4.9,87
12777038,23340,[喵の尤克里里]双地铁/武汉天地/一居室,114.3142806520608,30.615123933847347,常阳·永清城,近黄浦路地铁站,295,295,武汉,江岸区,整套,1居1床2人,5.0,6
13622043,23340,One-特价中-恭喜FPX夺冠【晚安】,114.312661,30.613846,汉飞青年城,近黄浦路地铁站,227,227,武汉,江岸区,整套,1居1床1人,5.0,12
13664967,23340,[janebone’s一直宅] 一居室,114.2714766154088,30.57208529260995, 汉正街401号(江山如画四期),近武胜路地铁站,261,261,武汉,硚口区,整套,1居1床2人,5.0,14
14950321,23340,【筑•春和】靠近中南商圈/武大/投影浴缸,114.34191456143358,30.52834409619237,百瑞景中央生活区6期,近宝通寺地铁站,333,333,武汉,武昌区,整套,1居1床2人,5.0,12
11240300,23340,《昔拾•花园下午茶》湖北大学 武昌站,114.33799021106442,30.586409693753815,三角花园刘家河小区,近湖北大学地铁站,305,305,武汉,武昌区,整套,1居1床2人,5.0,27
22552272,23340,近武汉站/欢乐谷、东湖旁地铁口北欧一居室,114.39464402537621,30.61448056517341,花样年幸福万象,近仁和路地铁站,205,205,武汉,洪山区,整套,1居1床2人,0.0,0
19817064,23340,小森投影机CD房楚河汉街 武汉大学黄鹤楼,114.340898,30.537279,中南国际汇,近宝通寺地铁站,228,228,武汉,洪山区,整套,1居1床2人,5.0,1
8921410,23340,《Alon's house C》悦湖 ,114.35768599999994,30.581460894574743,金沙泊岸,近东亭地铁站,431,431,武汉,武昌区,整套,1居1床2人,4.9,18
16947771,23340,【PaPa木一】吉庆街/江汉路江滩/一居,114.299417,30.601108,香港路8号,近大智路地铁站,287,287,武汉,江岸区,整套,1居1床2人,5.0,15
15789404,23340,街道口武大理工华师群光简约复古大房,114.36130526178934,30.532200295645577,街道口地铁站B口,近街道口地铁站,293,293,武汉,洪山区,整套,1居1床2人,4.9,26
13602814,23340,【国博】汉阳/临江/近地铁/现代精致一居,114.255735,30.520834,鹦鹉大道493号恒大御景湾,近前进村地铁站,213,213,武汉,汉阳区,整套,1居1床2人,5.0,20
15937279,23340,听澜岸江景绿地缤纷城六号线全屋智能灯光秀,114.328725,30.588181,绿地·铂瑞公馆,近湖北大学地铁站,458,458,武汉,武昌区,整套,1居1床2人,5.0,23
17041648,23340,轻奢北美大床房独户一居、双地铁附近群星城,114.360636,30.587411,福星惠誉国际城(8-2)公寓楼(群星城附近国家能源湖北能源斜对面),近汪家墩地铁站,240,240,武汉,武昌区,整套,1居1床2人,5.0,1
9857555,23340,【格调家®】昙华林黄鹤楼的《情迷影院房》,114.312312,30.561462,和平大道(汉宫银座),近积玉桥地铁站,199,199,武汉,武昌区,整套,1居1床2人,4.9,83
15696339,23340,《Alon's house E》花湖,114.35630568076856,30.581584445593126,金沙泊岸,近东亭地铁站,439,439,武汉,洪山区,整套,1居1床2人,5.0,5
14759389,23340,【梦舍】武汉天地复式日式和服榻榻米浮世绘,114.31234461515395,30.613596509293117,汉飞青年城(近地铁 ),近黄浦路地铁站,251,251,武汉,江岸区,整套,1居1床2人,5.0,8
1044392,23340,【筑•白日梦】城市景观/群星城/楚河汉街,114.35335540372056,30.583608656984957,秦园东路,近汪家墩地铁站,372,372,武汉,洪山区,整套,1居1床2人,4.9,127
14915202,23340,【筑•归野】近中南商圈/武大/天然复古风,114.34192230192018,30.52833009130401,百瑞景中央生活区6期,近宝通寺地铁站,333,333,武汉,武昌区,整套,1居1床2人,5.0,12
10915570,23340,【楚•时光loft】双地铁昙华林/黄鹤楼,114.32294952113054,30.563814047246407,尚隆路60(武汉友谊国际D公馆1栋),近螃蟹岬地铁站,273,273,武汉,武昌区,整套,1居1床2人,5.0,11
10605575,23340,【武昌站】湖工大/黄鹤楼/北欧田园一居,114.312885,30.512523,南湖花园城建安街与南湖路交汇处保利公园九里P6栋,近建安街地铁站,219,219,武汉,洪山区,整套,1居1床2人,5.0,48
14714652,23340,徐东群星城/东湖欢乐谷/ins秋葻/,114.367571997964,30.598837460053105,保利城二期G2栋C座(靠近铁机路地铁站，武汉东湖欢乐谷),近罗家港地铁站,204,204,武汉,洪山区,整套,1居1床2人,5.0,189
11254797,23340,汉口火车站/园博园/CBD/机场大巴一居,114.240009,30.626981,思维同创(江汉区江发路17号思维同创大厦),近园博园地铁站,155,155,武汉,江汉区,整套,1居1床2人,4.8,63
