unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
22272734,14898,近厦门北方特机场看日出海景房可接待湖北籍,118.14334299999996,24.61551203689336,阳光城翡丽海岸,,249,226,厦门,同安区,整套,1居2床4人,5.0,10
15414582,14898,厦门山竺拾海近鼓浪屿中山路曾厝安（壹号）,118.06284406664342,24.496402504894, 沧虹路1898号,近海沧,574,459,厦门,海沧区,,2居1床2人,4.7,13
16971424,14898,（格格）海边厦大曾厝垵ins淡雅清新大床,118.123173,24.441529,厦大学生公寓(公交站)(曾厝垵59号),近将军祠地铁站,226,204,厦门,思明区,整套,1居1床2人,5.0,670
9318149,14898,近曾厝垵.厦大.鼓浪屿中山路@轻奢大床房,118.122976,24.44187416142468,前厝(前田公交站),近将军祠地铁站,259,234,厦门,思明区,整套,1居1床2人,5.0,2105
10024701,14898,闹市区软件园会展中心厦大鼓浪屿直达大床房,118.17875099973222,24.49224377820624,宝龙一城(西塔二楼),近吕厝地铁站,289,275,厦门,思明区,整套,1居1床2人,5.0,4
14507921,14898,大阳台房，一只哈士奇，配私人管家，靠海边,118.07993926634225,24.44761742407751,鼓浪屿琴怡酒店(复兴路),近镇海路地铁站,305,245,厦门,思明区,整套,1居1床2人,5.0,93
11154130,14898, MokaHouse曾厝垵别墅海景大床房,118.13808707368196,24.43071586550371,曾厝埯曾山13号楼,近曾厝垵,395,376,厦门,思明区,整套,1居1床2人,4.8,37
17768626,14898,鼓浪屿、中山路、厦大白城温馨海景1居,118.08533224818655,24.46563150945688,鹭江街道 厦禾路268号,近镇海路地铁站,155,146,厦门,思明区,整套,1居2床2人,5.0,2
15889770,14898,【丽一美】270度超大落地窗海景loft,118.14436809362705,24.614815605785285,阳光城翡丽海岸,,414,374,厦门,同安区,整套,1居1床2人,5.0,8
13825575,14898,楠雅设计大床房&近曾厝垵鼓浪屿临海民宿,118.124354,24.443341, 曾厝垵北二路(厦大学生公寓),近将军祠地铁站,1388,1319,厦门,思明区,整套,1居1床2人,5.0,480
18547096,14898,270度观海上日出云海/ins风loft,118.143343,24.615512,阳光城翡丽海岸(电梯直达),,298,269,厦门,同安区,整套,1居1床2人,0.0,0
8157773,14898,赏鼓浪屿全海景近中山路老八市/投影大一居,118.079973,24.462039,特香包(海后路店),近镇海路地铁站,299,299,青岛,思明区,整套,1居1床2人,5.0,40
15599018,14898,【丽一美】绿色心情  高层海景  lof,118.1444848733433,24.6148320312846,阳光城翡丽海岸,,304,289,厦门,同安区,整套,1居2床4人,5.0,1
17567222,14898,维尼欧式轻奢复式海景投影房,118.139551939514,24.623925339243375,西柯镇 ,,375,294,厦门,同安区,整套,2居1床2人,5.0,3
182019,14898,《大洋小镇》岛内复式loft近机场火车站,118.166367,24.519594,大唐·五缘YOHO -B栋(大唐五缘yoho公寓),近乌石浦地铁站,253,203,厦门,湖里区,整套,1居1床2人,4.9,258
16876518,14898,近厦门北机场方特/ins网红落地窗海景房,118.14334299999996,24.61551203689336,阳光城翡丽海岸,,341,309,厦门,同安区,整套,2居2床4人,4.8,33
15301483,14898,4.后海简约风复式楼两居商圈房，近地铁站,118.06749110810853,24.567788677465803, 杏林东路(万科金域华府。),近园博苑地铁站,288,260,厦门,集美区,整套,2居2床3人,4.9,8
17973978,14898,告白」中山路上鼓浪屿旁，52平一室一厅，,118.08475451982213,24.463069099457314,大同路,近镇海路地铁站,599,599,厦门,思明区,整套,1居1床2人,4.9,27
11148943,14898,MokaHouse曾厝垵别墅浴缸大床房,118.13808707368196,24.43071586550371,曾厝埯曾山13号楼,近曾厝垵,282,269,厦门,思明区,整套,1居1床2人,4.8,13
15191639,14898,近厦门北/机场/方特ins豪华鱼缸海景房,118.14334299999996,24.61551203689336,阳光城翡丽海岸,,341,309,厦门,同安区,整套,2居2床4人,4.9,37
18245109,14898,只月租【轻复古】地铁口会展宝龙一城环岛路,118.1784899239365,24.492209274462798,宝龙一城,近吕厝地铁站,500,450,厦门,思明区,整套,3居3床6人,5.0,19
27403391,14898,【丽一美】超大落地窗浪漫海景房,118.1444848733433,24.6148320312846,阳光城翡丽海岸,,333,317,厦门,同安区,整套,1居2床4人,0.0,0
12431434,14898,近厦门鼓浪屿中山路Sound room,118.12399,24.440698,厦大学生公寓(公交站)(曾厝垵厦大学生公寓前田站),近将军祠地铁站,209,197,厦门,思明区,整套,1居1床2人,5.0,1006
1619331,14898,万达复古美式3D投影电影房,118.18613929982722,24.508801138262246,万达广场SOHO公寓D区(soho公寓-d区),近五缘湾,272,245,厦门,湖里区,整套,1居1床2人,4.9,21
16266447,14898,loft茶室大床，带泳池、曾厝垵、庭院,118.122968,24.435465,罗望·厦门后院1882客栈(厦门大学海边),近将军祠地铁站,398,367,厦门,思明区,整套,1居1床2人,5.0,9
18400054,14898,曾厝垵近厦大/中山路/浴缸星空观影大床房,118.132013,24.435068,滨海街道 文青路,近将军祠地铁站,579,522,厦门,思明区,整套,1居1床2人,5.0,1
16466752,14898,度假海景房.临高崎机场.厦门北站,118.1416200969666,24.61476522473969,阳光城翡丽海岸,,288,274,厦门,同安区,整套,1居1床2人,0.0,0
1619177,14898,万达极简意式轻奢商务3D投影房,118.18614828288231,24.50880113826225,万达广场SOHO公寓D区(soho公寓-D区),近五缘湾,272,231,厦门,湖里区,整套,1居1床2人,4.7,17
13525303,14898,《一席·海景》中山路对面高层海景,118.08605,24.469221,禾祥首府,近中山公园地铁站,358,323,厦门,思明区,整套,1居1床2人,5.0,8
15578669,14898,鹭缘·设计民宿 全景窗近厦大鼓浪屿曾厝垵,118.123804,24.443562,曾厝垵北二路(厦大学生公寓东南门旁),近将军祠地铁站,888,844,厦门,思明区,整套,1居1床2人,5.0,346
15226814,14898,曾厝垵隐于市-世外雅奢露台大床，近鼓浪屿,118.13124486659555,24.436154234304016,世外设计师度假别墅,近将军祠地铁站,358,323,厦门,思明区,整套,1居1床2人,5.0,17
1676913,14898,近环岛路曾厝垵高层大床海景晚安公寓Ⅰ-α,118.187437,24.465714,金海豪园(（西区北门）),近会展中心/环岛路,568,483,厦门,思明区,整套,1居1床2人,4.7,27
14507984,14898,老别墅，养了只哈士奇，配私人管家，靠海边,118.07993926634225,24.44761742407751,鼓浪屿琴怡酒店(复兴路),近镇海路地铁站,375,301,厦门,思明区,整套,1居1床2人,5.0,32
11523142,14898,光景别院·夏影居 尊享大床/近中山路,118.08182850751491,24.45997210214415,厦门海景和颐酒店(中山路店)(中山路步行街旁),近镇海路地铁站,308,308,厦门,思明区,整套,1居1床2人,4.8,41
15226674,14898,投影大床 曾厝垵 水池 庭院 网红打卡 ,118.13124486659555,24.436154234304016,世外设计师度假别墅,近将军祠地铁站,238,215,厦门,思明区,整套,1居1床2人,5.0,53
8903497,14898,中山路鼓浪屿曾厝安北欧轻奢投影高层房,118.08604999953305,24.46924012934848,禾祥首府(2号楼),近中山公园地铁站,432,432,厦门,思明区,整套,1居1床2人,5.0,8
16972313,14898,（格格）环岛路曾厝垵厦大INS影视双床,118.123667,24.442812,厦大学生公寓(公交站)(厦大学生公寓公交站),近将军祠地铁站,368,324,厦门,思明区,整套,1居2床4人,5.0,399
15243586,14898,娜海海边求婚聚会瑜伽榻榻米投影仪海景房,118.14204000510867,24.6153799702941,阳光城翡丽海岸,,328,296,厦门,同安区,整套,2居2床4人,4.9,27
15987567,14898,《 桃源 》近鼓浪屿中山路厦门大学南普陀,118.09128980701284,24.460063774106988,外清巷,近镇海路地铁站,328,296,厦门,思明区,整套,1居1床2人,5.0,9
9717569,14898,[有艺见-夕照] 机场环岛飘窗海景艺术家,118.132131,24.55899,海涵时代中心(高崎道),近高崎地铁站,542,516,厦门,湖里区,整套,1居2床4人,5.0,245
16365469,14898,复试.秋千风海景房,118.1416200969666,24.61476522473969,阳光城翡丽海岸,,268,242,厦门,同安区,整套,1居1床2人,5.0,4
12165084,14898,一席•海景 中山路步行街高层海景轻奢公寓,118.08604999999996,24.46922101971577,禾祥首府,近中山公园地铁站,318,287,厦门,思明区,整套,1居1床2人,5.0,16
9602615,14898,观鼓浪屿--海景落地窗大床,118.052247,24.458848,梵居屿岸(嵩屿码头边),近镇海路地铁站,580,552,厦门,海沧区,整套,1居1床2人,4.8,67
9760024,14898,田园风复式loft 投影房 近机场中山路,118.1664753922203,24.519445292435076,大唐五缘YOHO,近乌石浦地铁站,288,260,厦门,湖里区,整套,1居1床2人,5.0,29
15192010,14898,近厦门北机场方特纯日式海景房可接待湖北籍,118.14334299999996,24.61551203689336,阳光城翡丽海岸,,347,314,厦门,同安区,整套,2居2床4人,5.0,33
