职位名称,公司名称,工作地点,薪资,工作经验,学历要求,所属领域,公司状态,公司规模,发布人
Java,中科软,北京 丰台区 六里桥,6-8K,1-3年,本科,计算机软件,已上市,10000人以上,王先生/项目经理
java,北京能科瑞元有限公司,北京 东城区 朝阳门,13-20K,5-10年,本科,互联网,1000-9999人,无,郭先生/项目经理
Java,北信工,北京 海淀区 人民大学,12-16K,3-5年,本科,计算机软件,已上市,500-999人,饶女士/项目经理
Java,中科软科技,北京 海淀区 魏公村,6-10K,1-3年,本科,互联网金融,不需要融资,10000人以上,闫女士/项目经理
Java,衣二三,北京 东城区 东单,30-40K,5-10年,本科,互联网,D轮及以上,500-999人,王先生/项目经理
Java,日产Nissan,北京 朝阳区 豆各庄,30-45K,1年以内,本科,汽车生产,1000-9999人,无,蒋女士/项目经理
Java,京东集团,北京 大兴区 亦庄,20-35K,5-10年,本科,电子商务,已上市,10000人以上,郑先生/项目经理
JAVA开发,中软国际,北京 海淀区 四季青,10-15K,3-5年,本科,计算机软件,已上市,10000人以上,宋女士/项目经理
Java,甲骨文中国,北京 海淀区 上地,15-30K,3-5年,本科,计算机软件,已上市,10000人以上,石先生/项目经理
java,中软国际,北京 海淀区 万柳,15-18K,经验不限,本科,计算机软件,已上市,10000人以上,刘女士/项目经理
java,绛门科技,北京 昌平区 南邵,16-17K,3-5年,本科,计算机软件,已上市,500-999人,李女士/项目经理
Java,北京尚德机构,北京 朝阳区 来广营,15-20K·15薪,5-10年,本科,在线教育,已上市,10000人以上,梁女士/项目经理
Java,自如网,北京 朝阳区 酒仙桥,15-30K,3-5年,本科,O2O,A轮,10000人以上,管女士/项目经理
Java,美团网,北京 朝阳区 望京,30-60K,3-5年,本科,O2O,已上市,10000人以上,潘女士/项目经理
Java,软通动力,北京 海淀区 上地,10-15K,1-3年,本科,计算机软件,已上市,10000人以上,唐女士/项目经理
Java,柯莱特集团,北京 朝阳区 望京,13-15K·13薪,3-5年,本科,计算机软件,已上市,1000-9999人,邹女士/项目经理
Java,第一视频,北京 朝阳区 望京,22-35K,5-10年,本科,媒体,已上市,500-999人,刘先生/项目经理
Java,宜信公司,北京 朝阳区 大望路,20-40K,5-10年,本科,互联网金融,已上市,10000人以上,叶女士/项目经理
Java,好未来,北京 海淀区 双榆树,20-30K,3-5年,本科,互联网,已上市,10000人以上,罗先生/项目经理
Java,北京道迩,北京 丰台区 科技园区,11-16K,3-5年,本科,计算机软件,不需要融资,100-499人,孙先生/项目经理
Java,便利蜂,北京 朝阳区 酒仙桥,25-50K,经验不限,本科,互联网,C轮,10000人以上,曹先生/项目经理
Java,爱保科技,北京 朝阳区 国贸,13-26K,3-5年,本科,互联网,A轮,100-499人,张先生/项目经理
Java,快手,北京 海淀区 五道口,20-40K,1-3年,本科,社交网络,D轮及以上,1000-9999人,张女士/项目经理
Java,小米,北京 海淀区 上地,15-25K,经验不限,本科,互联网,已上市,10000人以上,陈先生/项目经理
Java,柯莱特集团,北京 朝阳区 望京,12-15K,3-5年,本科,计算机软件,已上市,1000-9999人,汪女士/项目经理
java,软通动力,北京 海淀区 马连洼,13-14K,1-3年,本科,计算机软件,已上市,10000人以上,王女士/项目经理
Java,阿里巴巴高德,北京 朝阳区 大望路,25-50K,5-10年,本科,互联网,已上市,1000-9999人,常先生/项目经理
Java,看准网,北京 朝阳区 太阳宫,20-40K,3-5年,本科,人力资源服务,D轮及以上,1000-9999人,果先生/项目经理
Java,瓜子二手车直卖网,北京 朝阳区 酒仙桥,20-40K,3-5年,本科,分类信息,D轮及以上,10000人以上,顾先生/项目经理
Java工程师,跟谁学,北京 海淀区 马连洼,15-30K,3-5年,本科,互联网,已上市,1000-9999人,别先生/HR
Java,山立信息,北京 朝阳区 高碑店,11-18K,5-10年,大专,计算机软件,100-499人,无,郑女士/HR
Java,中科院自动化所,北京 海淀区 中关村,13-26K,经验不限,硕士,其他行业,不需要融资,1000-9999人,研发负责人/HR
Java,阿里巴巴集团,北京 朝阳区 望京,20-40K·16薪,3-5年,本科,互联网,不需要融资,10000人以上,李先生/HR
java,新致软件,北京 西城区 西四,11-14K,3-5年,本科,计算机软件,D轮及以上,1000-9999人,范女士/HR
Java,小米,北京 海淀区 清河,15-30K,3-5年,本科,互联网,已上市,10000人以上,董先生/HR
Java,京北方,北京  ,11-20K,3-5年,本科,互联网金融,C轮,10000人以上,姜女士/HR
Java,vip kid,北京 朝阳区 十里堡,25-50K,3-5年,本科,移动互联网,C轮,1000-9999人,邹先生/HR
java,文德数慧,北京 海淀区 西北旺,11-22K,3-5年,本科,互联网,A轮,500-999人,王先生/HR
Java,宇信科技,北京 西城区 金融街,10-15K,3-5年,本科,计算机软件,已上市,1000-9999人,魏女士/HR
java,元拓科技,北京 朝阳区 朝外,10-20K,3-5年,大专,计算机软件,不需要融资,100-499人,朱女士/HR
