ID,工作名称,招聘详细链接,公司名称,公司ID,公司性质,公司规模,公司招聘主页,公司地点,薪资,学历要求,工作经历,职位类型,公司福利,工作发布标签,更新时间
CC263663016J90250259000,Java Developer,https://jobs.zhaopin.com/263663016250259.htm,北京远程睿智商务咨询有限公司,CZ263663010,外商独资,500-999人,https://company.zhaopin.com/CZ263663010.htm,北京,20K-30K,大专,5-10年,全职,五险一金、年底双薪、带薪年假、弹性工作、补充医疗保险,最新,2019-07-10 15:37:33
CZ753759270J00106881113,2019年 java应届生，实习生,https://jobs.zhaopin.com/CZ753759270J00106881113.htm,北京翔云在线数据技术有限公司,CZ753759270,民营,20-99人,https://company.zhaopin.com/CZ753759270.htm,北京,4K-6K,本科,无经验,实习,创业公司、周末双休、五险一金、加班补助、节日福利,最新,2019-07-10 15:42:57
CZ440748820J00084420803,高级Java开发工程师,https://jobs.zhaopin.com/CZ440748820J00084420803.htm,西安东华软件有限公司,CZ440748820,民营,500-999人,https://company.zhaopin.com/CZ440748820.htm,北京,8K-16K,本科,3-5年,全职,五险一金、定期体检、绩效奖金、全勤奖,最新,2019-07-10 14:09:42
CZ440748820J00090900903,初级Java开发工程师,https://jobs.zhaopin.com/CZ440748820J00090900903.htm,西安东华软件有限公司,CZ440748820,民营,500-999人,https://company.zhaopin.com/CZ440748820.htm,北京,7K-12K,本科,1年以下,全职,五险一金、周末双休、绩效奖金、全勤奖、定期体检,最新,2019-07-10 14:09:25
CC525748780J00325150807,java开发工程师-中级,https://jobs.zhaopin.com/CC525748780J00325150807.htm,隆正信息科技有限公司,CZ525748780,股份制企业,100-499人,https://company.zhaopin.com/CZ525748780.htm,北京-朝阳区,10K-20K,大专,1-3年,全职,五险一金、弹性工作、带薪年假,最新,2019-07-10 14:15:45
CC121014708J00311378607,JAVA开发工程师,https://jobs.zhaopin.com/CC121014708J00311378607.htm,苏州蜗牛数字科技股份有限公司,CZ121014700,民营,1000-9999人,http://special.zhaopin.com/sz/2014/11016/wnkj040326,北京-东城区,12K-20K,本科,1-3年,全职,五险一金、年底双薪、每年多次调薪、周末双休、餐补,最新,2019-07-10 13:49:14
CC525748780J00325158107,java开发工程师--初级,https://jobs.zhaopin.com/CC525748780J00325158107.htm,隆正信息科技有限公司,CZ525748780,股份制企业,100-499人,https://company.zhaopin.com/CZ525748780.htm,北京-朝阳区,6K-10K,大专,1年以下,全职,五险一金、弹性工作、带薪年假,最新,2019-07-10 14:01:40
CZ725866650J00122590613,高级java开发工程师,https://jobs.zhaopin.com/CZ725866650J00122590613.htm,北京鑫互联科技有限公司,CZ725866650,民营,100-499人,https://company.zhaopin.com/CZ725866650.htm,北京,25K-40K,本科,3-5年,全职,每年多次调薪、年底双薪、周末双休、绩效奖金、大牛带队,最新,2019-07-10 15:37:52
CC825182040J00151846715,手游服务器开发工程师（java）,https://jobs.zhaopin.com/CC825182040J00151846715.htm,北京柯鑫网络科技有限公司,CZ825182040,民营,20-99人,https://company.zhaopin.com/CZ825182040.htm,北京,12K-16K,本科,3-5年,全职,五险一金、餐补、补充医疗保险、定期体检、带薪年假,最新,2019-07-10 09:26:00
CC278494617J00118529612,中高级java开发工程师,https://jobs.zhaopin.com/CC278494617J00118529612.htm,北京品高辉煌科技有限责任公司,CZ278494610,其它,500-999人,http://special.zhaopin.com/pagepublish/27849461/index.html,北京,10K-20K,本科,5-10年,全职,五险一金、年底双薪、绩效奖金、带薪年假、补充医疗保险,最新,2019-07-10 14:27:54
